node	 parent
0	0
1	0
2	0
3	0
4	1
5	1
6	0
7	0
8	1
9	1
10	1
11	1
12	1
13	3
14	3
15	3
16	1
17	4
18	15
19	1
20	7
21	7
22	2
23	2
24	3
25	12
26	0
27	1
28	0
29	10
30	3
31	6
32	8
33	17
34	10
35	4
36	1
37	2
38	31
39	0
40	4
41	15
42	17
43	3
44	10
45	17
46	10
47	19
48	26
49	0
50	31
51	10
52	0
53	32
54	19
55	15
56	1
57	24
58	18
59	15
60	17
61	18
62	6
63	16
64	6
65	56
66	6
67	41
68	41
69	2
70	6
71	64
72	7
73	7
74	65
75	8
76	0
77	45
78	1
79	24
80	18
81	12
82	10
83	19
84	0
85	65
86	2
87	1
88	24
89	58
90	15
91	23
92	19
93	31
94	73
95	81
96	21
97	73
98	1
99	56
100	15
101	19
102	47
103	41
104	60
105	4
106	16
107	3
108	1
109	41
110	16
111	17
112	10
113	0
114	16
115	24
116	6
117	10
118	91
119	1
120	7
121	24
122	31
123	15
124	17
125	24
126	32
127	18
128	58
129	19
130	0
131	34
132	45
133	27
134	12
135	2
136	1
137	28
138	42
139	6
140	23
141	96
142	83
143	11
144	72
145	60
146	57
147	131
148	3
149	9
150	52
151	71
152	3
153	2
154	22
155	0
156	64
157	72
158	26
159	15
160	64
161	113
162	15
163	8
164	6
165	33
166	60
167	7
168	28
169	19
170	8
171	83
172	36
173	66
174	131
175	3
176	11
177	105
178	29
179	23
180	22
181	24
182	32
183	16
184	36
185	50
186	63
187	148
188	9
189	12
190	153
191	2
192	27
193	67
194	184
195	15
196	18
197	32
198	20
199	1
200	52
201	52
202	23
203	32
204	111
205	8
206	64
207	0
208	81
209	8
210	71
211	31
212	15
213	94
214	22
215	31
216	49
217	24
218	49
219	17
220	28
221	116
222	80
223	86
224	18
225	97
226	205
227	91
228	97
229	106
230	148
231	123
232	16
233	1
234	146
235	31
236	1
237	104
238	48
239	146
240	219
241	22
242	85
243	180
244	8
245	99
246	67
247	1
248	207
249	111
250	174
251	216
252	16
253	26
254	45
255	163
256	40
257	76
258	116
259	40
260	163
261	3
262	85
263	49
264	153
265	163
266	26
267	114
268	19
269	86
270	66
271	5
272	40
273	31
274	143
275	153
276	6
277	29
278	142
279	41
280	60
281	91
282	20
283	50
284	92
285	55
286	99
287	6
288	99
289	30
290	6
291	49
292	10
293	232
294	51
295	223
296	56
297	53
298	239
299	159
300	86
301	29
302	94
303	76
304	211
305	92
306	32
307	8
308	6
309	32
310	30
311	27
312	120
313	248
314	5
315	24
316	83
317	24
318	232
319	24
320	19
321	1
322	108
323	18
324	0
325	63
326	29
327	146
328	51
329	28
330	171
331	45
332	184
333	186
334	20
335	103
336	73
337	86
338	19
339	8
340	113
341	12
342	29
343	114
344	5
345	177
346	63
347	15
348	26
349	24
350	58
351	22
352	269
353	50
354	293
355	1
356	319
357	16
358	5
359	24
360	156
361	182
362	79
363	207
364	5
365	92
366	29
367	149
368	70
369	19
370	207
371	69
372	1
373	105
374	39
375	3
376	83
377	133
378	36
379	42
380	69
381	40
382	7
383	221
384	63
385	32
386	136
387	40
388	95
389	293
390	42
391	21
392	4
393	159
394	67
395	25
396	189
397	119
398	161
399	50
400	51
401	69
402	28
403	149
404	309
405	88
406	1
407	399
408	93
409	13
410	131
411	7
412	220
413	269
414	177
415	67
416	142
417	179
418	99
419	187
420	11
421	111
422	36
423	44
424	49
425	63
426	220
427	143
428	105
429	74
430	351
431	10
432	19
433	106
434	104
435	216
436	30
437	269
438	16
439	56
440	146
441	51
442	289
443	11
444	100
445	289
446	6
447	201
448	93
449	43
450	14
451	53
452	12
453	81
454	73
455	23
456	265
457	29
458	309
459	139
460	410
461	248
462	269
463	208
464	16
465	50
466	440
467	113
468	6
469	193
470	43
471	432
472	27
473	112
474	17
475	112
476	20
477	195
478	232
479	387
480	353
481	355
482	5
483	32
484	14
485	252
486	3
487	207
488	180
489	214
490	1
491	195
492	48
493	31
494	22
495	3
496	46
497	171
498	69
499	14
500	11
501	3
502	179
503	40
504	336
505	36
506	133
507	236
508	132
509	85
510	342
511	19
512	19
513	49
514	86
515	417
516	34
517	463
518	138
519	117
520	213
521	13
522	304
523	0
524	299
525	3
526	376
527	94
528	32
529	19
530	176
531	177
