node	 parent
0	0
1	0
2	1
3	1
4	2
5	1
6	0
7	0
8	4
9	3
10	8
11	8
12	2
13	9
14	11
15	12
16	7
17	5
18	10
19	16
20	18
21	10
22	9
23	9
24	4
25	7
26	8
27	0
28	25
29	19
30	11
31	14
32	5
33	18
34	28
35	4
36	8
37	35
38	25
39	19
40	2
41	13
42	15
43	37
44	9
45	38
46	14
47	15
48	43
49	40
50	40
51	22
52	19
53	31
54	39
55	12
56	28
57	15
58	36
59	26
60	21
61	35
62	56
63	20
64	63
65	5
66	8
67	54
68	46
69	56
70	53
71	39
72	11
73	52
74	66
75	24
76	10
77	50
78	0
79	78
80	14
81	7
82	26
83	77
84	12
85	24
86	16
87	25
88	25
89	83
90	81
91	45
92	24
93	17
94	10
95	19
96	44
97	59
98	92
99	31
100	46
101	92
102	64
103	93
104	86
105	34
106	47
107	19
108	83
109	98
110	74
111	105
112	60
113	47
114	67
115	72
116	29
117	47
118	88
119	24
120	78
121	92
122	51
123	110
124	27
125	21
126	57
127	15
128	112
129	65
130	95
131	56
132	51
133	115
134	15
135	101
136	124
137	60
138	89
139	23
140	107
141	93
142	76
143	64
144	103
145	59
146	38
147	32
148	111
149	76
150	148
151	26
152	83
153	30
154	85
155	130
156	83
157	34
158	99
159	117
160	107
161	49
162	25
163	90
164	93
165	45
166	25
167	163
168	167
169	160
170	96
171	62
172	141
173	44
174	60
175	98
176	84
177	31
178	39
179	41
180	136
181	173
182	41
183	157
184	95
185	183
186	152
187	152
188	79
189	165
190	150
191	183
192	38
193	80
194	181
195	25
196	83
197	15
198	195
199	16
200	12
201	67
202	123
203	79
204	89
205	64
206	22
207	16
208	29
209	147
210	21
211	46
212	123
213	199
214	156
215	64
216	144
217	146
218	76
219	122
220	90
221	201
222	36
223	197
224	121
225	172
226	104
227	140
228	198
229	214
230	125
231	81
232	1
233	211
234	171
235	69
236	221
237	97
238	78
239	161
240	166
241	233
242	201
243	138
244	140
245	16
246	41
247	112
248	178
249	213
250	100
251	199
252	183
253	179
254	26
255	159
256	39
257	106
258	30
259	77
260	201
261	119
262	92
263	229
264	110
265	21
266	227
267	162
268	92
269	263
270	196
271	165
272	186
273	64
274	122
275	242
276	80
277	63
278	235
279	122
280	70
281	133
282	106
283	255
284	55
285	127
286	79
287	128
288	277
289	84
290	83
291	286
292	280
293	1
294	246
295	224
296	51
297	168
298	137
299	284
300	265
301	292
302	225
303	74
304	14
305	251
306	19
307	80
308	271
309	238
310	84
311	182
312	166
313	138
314	43
315	240
316	166
317	125
318	94
319	160
320	19
321	86
322	312
323	156
324	175
325	217
326	109
327	177
328	219
329	193
330	99
331	1
332	5
333	131
334	132
335	215
336	36
337	103
338	288
339	101
340	182
341	47
342	221
343	237
344	239
345	141
346	310
347	28
348	191
349	13
350	27
351	328
352	337
353	8
354	305
355	209
356	215
357	18
358	89
359	307
360	123
361	227
362	224
363	136
364	169
365	293
366	55
367	75
368	131
369	78
370	61
371	65
372	194
373	182
374	183
375	269
376	350
377	331
378	197
379	242
380	178
381	293
382	6
383	290
384	357
385	49
386	233
387	146
388	122
389	340
390	285
391	116
392	66
393	8
394	122
395	119
396	228
397	347
398	286
399	27
400	368
401	266
402	66
403	368
404	214
405	326
406	378
407	30
408	197
409	246
410	113
411	367
412	18
413	85
414	303
415	239
416	140
417	27
418	146
419	128
420	416
421	60
422	1
423	315
424	75
425	119
426	249
427	92
428	165
429	19
430	21
431	427
432	69
433	110
434	228
435	381
436	13
437	97
438	107
439	200
440	307
441	359
442	245
443	390
444	27
445	254
446	152
447	166
448	14
449	184
450	172
451	401
452	10
453	306
454	245
455	144
456	415
457	166
458	317
459	355
460	341
461	286
462	145
463	205
464	61
465	193
466	30
467	402
468	61
469	14
470	458
471	131
472	424
473	355
474	348
475	35
476	212
477	315
478	461
479	314
480	405
481	44
482	187
483	223
484	483
485	45
486	214
487	49
488	110
489	249
490	45
491	250
492	111
493	314
494	246
495	43
496	384
497	70
498	46
499	403
500	415
501	100
502	66
503	182
504	328
505	415
506	463
507	389
508	505
509	457
510	100
511	134
512	90
513	294
514	443
515	188
516	257
517	286
518	491
519	10
520	145
521	446
522	216
523	98
524	134
525	362
526	93
527	514
528	402
529	138
530	230
531	391
