Node	 Parent	 Time	 SigClade
0	0	0	0
1	0	1	0
2	0	2	0
3	0	2	0
4	1	2	0
5	1	2	0
6	0	2	0
7	0	2	0
8	1	3	0
9	1	3	0
10	1	3	0
11	1	3	0
12	1	3	0
13	3	3	0
14	3	4	0
15	3	3	0
16	1	3	0
17	4	3	0
18	15	3	0
19	1	3	0
20	7	4	0
21	7	4	0
22	2	4	0
23	2	4	0
24	3	2	0
25	12	4	0
26	0	2	0
27	1	3	0
28	0	1	0
29	10	3	0
30	3	4	0
31	6	4	0
32	8	5	0
33	17	4	0
34	10	3	0
35	4	3	0
36	1	3	0
37	2	4	0
38	31	6	0
39	0	1	0
40	4	2	0
41	15	4	0
42	17	5	0
43	3	3	0
44	10	1	0
45	17	4	0
46	10	4	0
47	19	5	0
48	26	4	0
49	0	1	0
50	31	5	0
51	10	3	0
52	0	2	0
53	32	4	0
54	19	5	0
55	15	2	0
56	1	3	0
57	24	3	0
58	18	3	0
59	15	3	0
60	17	4	0
61	18	5	0
62	6	4	0
63	16	5	0
64	6	2	0
65	56	3	0
66	6	3	0
67	41	5	0
68	41	5	0
69	2	4	0
70	6	4	0
71	64	4	0
72	7	4	0
73	7	4	0
74	65	4	0
75	8	4	0
76	0	2	0
77	45	3	0
78	1	2	0
79	24	3	0
80	18	4	0
81	12	5	0
82	10	3	0
83	19	5	0
84	0	2	0
85	65	3	0
86	2	4	0
87	1	3	0
88	24	2	0
89	58	4	0
90	15	3	0
91	23	4	0
92	19	5	0
93	31	6	0
94	73	6	0
95	81	4	0
96	21	5	0
97	73	6	0
98	1	3	0
99	56	3	0
100	15	1	0
101	19	4	0
102	47	5	0
103	41	4	0
104	60	6	0
105	4	2	0
106	16	3	0
107	3	3	0
108	1	2	0
109	41	5	0
110	16	5	0
111	17	3	0
112	10	3	0
113	0	2	0
114	16	5	0
115	24	3	0
116	6	4	0
117	10	3	0
118	91	5	0
119	1	3	0
120	7	3	0
121	24	4	0
122	31	5	0
123	15	3	0
124	17	5	0
125	24	4	0
126	32	6	0
127	18	4	0
128	58	4	0
129	19	4	0
130	0	2	0
131	34	4	0
132	45	4	0
133	27	5	0
134	12	4	0
135	2	4	0
136	1	3	0
137	28	3	0
138	42	5	0
139	6	3	0
140	23	5	0
141	96	4	0
142	83	6	0
143	11	3	0
144	72	6	0
145	60	6	0
146	57	4	0
147	131	5	0
148	3	4	0
149	9	5	0
150	52	4	0
151	71	3	0
152	3	4	0
153	2	4	0
154	22	6	0
155	0	2	0
156	64	4	0
157	72	5	0
158	26	4	0
159	15	3	0
160	64	4	0
161	113	4	0
162	15	2	0
163	8	4	0
164	6	4	0
165	33	5	0
166	60	4	0
167	7	4	0
168	28	3	0
169	19	5	0
170	8	4	0
171	83	6	0
172	36	5	0
173	66	3	0
174	131	5	0
175	3	3	0
176	11	4	0
177	105	3	0
178	29	4	0
179	23	5	0
180	22	5	0
181	24	4	0
182	32	6	0
183	16	4	0
184	36	5	0
185	50	6	0
186	63	6	0
187	148	4	0
188	9	5	0
189	12	4	0
190	153	5	0
191	2	3	0
192	27	4	0
193	67	6	0
194	184	5	0
195	15	3	0
196	18	4	0
197	32	7	0
198	20	5	0
199	1	2	0
200	52	4	0
201	52	4	0
202	23	4	0
203	32	7	0
204	111	3	0
205	8	4	0
206	64	4	0
207	0	2	0
208	81	6	0
209	8	5	0
210	71	5	0
211	31	4	0
212	15	2	0
213	94	5	0
214	22	6	0
215	31	3	0
216	49	3	0
217	24	4	0
218	49	2	0
219	17	4	0
220	28	3	0
221	116	4	0
222	80	5	0
223	86	4	0
224	18	3	0
225	97	5	0
226	205	4	0
227	91	5	0
228	97	6	0
229	106	5	0
230	148	5	0
231	123	5	0
232	16	5	0
233	1	2	0
234	146	4	0
235	31	5	0
236	1	3	0
237	104	5	0
238	48	4	0
239	146	6	0
240	219	6	0
241	22	6	0
242	85	4	0
243	180	5	0
244	8	5	0
245	99	5	0
246	67	7	0
247	1	3	0
248	207	3	0
249	111	4	0
250	174	6	0
251	216	4	0
252	16	5	0
253	26	3	0
254	45	4	0
255	163	4	0
256	40	3	0
257	76	4	0
258	116	5	0
259	40	4	0
260	163	6	0
261	3	3	0
262	85	4	0
263	49	3	0
264	153	5	0
265	163	5	0
266	26	4	0
267	114	7	0
268	19	4	0
269	86	6	0
270	66	5	0
271	5	4	0
272	40	3	0
273	31	5	0
274	143	2	0
275	153	5	0
276	6	3	0
277	29	5	0
278	142	4	0
279	41	4	0
280	60	4	0
281	91	3	0
282	20	3	0
283	50	4	0
284	92	5	0
285	55	3	0
286	99	4	0
287	6	4	0
288	99	5	0
289	30	6	0
290	6	4	0
291	49	3	0
292	10	3	0
293	232	5	0
294	51	3	0
295	223	4	0
296	56	4	0
297	53	4	0
298	239	6	0
299	159	2	0
300	86	4	0
301	29	2	0
302	94	7	0
303	76	3	0
304	211	6	0
305	92	7	0
306	32	5	0
307	8	4	0
308	6	3	0
309	32	6	0
310	30	6	0
311	27	5	0
312	120	5	0
313	248	5	0
314	5	4	0
315	24	3	0
316	83	6	0
317	24	3	0
318	232	6	0
319	24	4	0
320	19	5	0
321	1	3	0
322	108	3	0
323	18	5	0
324	0	2	0
325	63	5	0
326	29	4	0
327	146	6	0
328	51	3	0
329	28	3	0
330	171	7	0
331	45	4	0
332	184	6	0
333	186	4	0
334	20	5	0
335	103	6	0
336	73	6	0
337	86	4	0
338	19	5	0
339	8	3	0
340	113	4	0
341	12	5	0
342	29	4	0
343	114	6	0
344	5	3	0
345	177	3	0
346	63	6	0
347	15	3	0
348	26	4	0
349	24	3	0
350	58	3	0
351	22	5	0
352	269	6	0
353	50	6	0
354	293	6	0
355	1	3	0
356	319	5	0
357	16	5	0
358	5	4	0
359	24	2	0
360	156	5	0
361	182	7	0
362	79	5	0
363	207	4	0
364	5	3	0
365	92	5	0
366	29	5	0
367	149	6	0
368	70	5	0
369	19	5	0
370	207	4	0
371	69	5	0
372	1	2	0
373	105	4	0
374	39	3	0
375	3	4	0
376	83	6	0
377	133	5	0
378	36	3	0
379	42	5	0
380	69	6	0
381	40	4	0
382	7	3	0
383	221	5	0
384	63	6	0
385	32	5	0
386	136	5	0
387	40	2	0
388	95	6	0
389	293	5	0
390	42	4	0
391	21	5	0
392	4	3	0
393	159	4	0
394	67	5	0
395	25	5	0
396	189	5	0
397	119	5	0
398	161	4	0
399	50	7	0
400	51	3	0
401	69	6	0
402	28	3	0
403	149	6	0
404	309	7	0
405	88	4	0
406	1	3	0
407	399	7	0
408	93	4	0
409	13	3	0
410	131	4	0
411	7	4	0
412	220	4	0
413	269	6	0
414	177	3	0
415	67	6	0
416	142	6	0
417	179	6	0
418	99	5	0
419	187	6	0
420	11	5	0
421	111	4	0
422	36	4	0
423	44	3	0
424	49	3	0
425	63	5	0
426	220	4	0
427	143	4	0
428	105	2	0
429	74	4	0
430	351	4	0
431	10	3	0
432	19	4	0
433	106	5	0
434	104	7	0
435	216	4	0
436	30	5	0
437	269	4	0
438	16	4	0
439	56	3	0
440	146	5	0
441	51	2	0
442	289	6	0
443	11	5	0
444	100	3	0
445	289	6	0
446	6	4	0
447	201	5	0
448	93	6	0
449	43	5	0
450	14	5	0
451	53	5	0
452	12	5	0
453	81	6	0
454	73	5	0
455	23	3	0
456	265	5	0
457	29	4	0
458	309	5	0
459	139	4	0
460	410	5	0
461	248	4	0
462	269	4	0
463	208	7	0
464	16	5	0
465	50	5	0
466	440	4	0
467	113	4	0
468	6	4	0
469	193	6	0
470	43	4	0
471	432	4	0
472	27	5	0
473	112	4	0
474	17	4	0
475	112	4	0
476	20	4	0
477	195	5	0
478	232	6	0
479	387	4	0
480	353	5	0
481	355	3	0
482	5	4	0
483	32	6	0
484	14	5	0
485	252	7	0
486	3	3	0
487	207	3	0
488	180	7	0
489	214	6	0
490	1	3	0
491	195	5	0
492	48	5	0
493	31	4	0
494	22	4	0
495	3	3	0
496	46	6	0
497	171	4	0
498	69	6	0
499	14	5	0
500	11	4	0
501	3	3	0
502	179	6	0
503	40	4	0
504	336	7	0
505	36	4	0
506	133	5	0
507	236	4	0
508	132	4	0
509	85	4	0
510	342	6	0
511	19	4	0
512	19	5	0
513	49	3	0
514	86	5	0
515	417	8	0
516	34	4	0
517	463	8	0
518	138	5	0
519	117	4	0
520	213	4	0
521	13	4	0
522	304	6	0
523	0	2	0
524	299	4	0
525	3	3	0
526	376	7	0
527	94	6	0
528	32	6	0
529	19	4	0
530	176	6	0
531	177	5	0
532	460	3	0
533	33	6	0
534	3	4	0
535	11	5	0
536	40	2	0
537	9	4	0
538	103	4	0
539	174	7	0
540	147	5	0
541	456	7	0
542	376	8	0
543	16	5	0
544	2	4	0
545	57	4	0
546	123	5	0
547	12	5	0
548	140	4	0
549	21	6	0
550	16	4	0
551	21	5	0
552	440	4	0
553	36	4	0
554	195	4	0
555	116	5	0
556	71	5	0
557	207	3	0
558	323	7	0
559	33	5	0
560	4	4	0
561	40	3	0
562	129	6	0
563	95	5	0
564	107	5	0
565	148	6	0
566	515	8	0
567	444	3	0
568	31	6	0
569	79	3	0
570	48	6	0
571	479	4	0
572	109	5	0
573	155	4	0
574	140	6	0
575	16	5	0
576	40	4	0
577	378	5	0
578	378	5	0
579	99	5	0
580	98	5	0
581	171	7	0
582	37	6	0
583	182	6	0
584	337	5	0
585	66	5	0
586	293	5	0
587	440	6	0
588	309	6	0
589	19	5	0
590	32	6	0
591	23	4	0
592	417	6	0
593	113	4	0
594	64	4	0
595	293	3	0
596	81	5	0
597	79	3	0
598	38	5	0
599	324	4	0
600	113	3	0
601	91	5	0
602	265	6	0
603	252	5	0
604	72	6	0
605	326	6	0
606	33	5	0
607	0	2	0
608	91	3	0
609	20	6	0
610	193	6	0
611	460	5	0
612	399	7	0
613	56	2	0
614	303	4	0
615	211	6	0
616	512	6	0
617	462	6	0
618	24	4	0
619	165	6	0
620	22	5	0
621	179	5	0
622	32	4	0
623	229	5	0
624	172	7	0
625	323	6	0
626	395	5	0
627	151	4	0
628	387	4	0
629	291	4	0
630	156	5	0
631	26	3	0
632	57	5	0
633	171	7	0
634	218	4	0
635	102	5	0
636	48	6	0
637	460	5	0
638	1	3	0
639	609	6	0
640	6	3	0
641	462	6	0
642	238	4	0
643	25	6	0
644	57	5	0
645	15	4	0
646	109	4	0
647	103	6	0
648	26	4	0
649	112	4	0
650	24	4	0
651	207	4	0
652	232	7	0
653	315	4	0
654	19	4	0
655	280	5	0
656	306	4	0
657	6	4	0
658	450	7	0
659	479	4	0
660	231	7	0
661	229	5	0
662	304	7	0
663	189	6	0
664	84	4	0
665	23	6	0
666	247	4	0
667	32	7	0
668	136	4	0
669	188	7	0
670	1	3	0
671	155	3	0
672	58	5	0
673	99	5	0
674	183	5	0
675	363	5	0
676	33	5	0
677	95	6	0
678	92	5	0
679	36	5	0
680	309	7	0
681	117	4	0
682	326	5	0
683	335	6	0
684	121	5	0
685	408	5	0
686	50	7	0
687	24	4	0
688	323	5	0
689	215	5	0
690	157	5	0
691	656	4	0
692	6	2	0
693	123	5	0
694	444	5	0
695	463	6	0
696	22	5	0
697	113	3	0
698	60	4	0
699	213	4	0
700	43	4	0
701	71	5	0
702	295	6	0
703	31	4	0
704	31	5	0
705	219	6	0
706	348	4	0
707	3	3	0
708	125	5	0
709	31	5	0
710	84	3	0
711	685	5	0
712	286	6	0
713	86	5	0
714	479	4	0
715	138	5	0
716	487	5	0
717	52	3	0
718	40	3	0
719	80	4	0
720	352	4	0
721	372	4	0
722	11	5	0
723	113	4	0
724	463	8	0
725	146	5	0
726	74	5	0
727	173	3	0
728	15	3	0
729	42	4	0
730	348	5	0
731	4	4	0
732	173	5	0
733	586	7	0
734	110	5	0
735	506	4	0
736	10	3	0
737	16	5	0
738	152	6	0
739	261	5	0
740	33	5	0
741	506	4	0
742	26	4	0
743	269	6	0
744	104	7	0
745	68	6	0
746	517	7	0
747	86	5	0
748	286	5	0
749	118	6	0
750	193	6	0
751	466	4	0
752	356	4	0
753	10	4	0
754	35	4	0
755	318	7	0
756	519	6	0
757	125	3	0
758	24	4	0
759	111	5	0
760	12	5	0
761	185	7	0
762	302	7	0
763	16	5	0
764	163	4	0
765	46	5	0
766	335	5	0
767	0	1	0
768	24	4	0
769	222	6	0
770	217	4	0
771	9	3	0
772	394	5	0
773	619	7	0
774	186	6	0
775	38	5	0
776	65	5	0
777	24	3	0
778	65	3	0
779	20	5	0
780	411	4	0
781	274	4	0
782	264	5	0
783	51	5	0
784	84	4	0
785	88	4	0
786	65	5	0
787	74	6	0
788	31	5	0
789	378	4	0
790	86	5	0
791	23	5	0
792	386	5	0
793	1	3	0
794	362	6	0
795	52	4	0
796	155	4	0
797	15	3	0
798	127	2	0
799	16	4	0
800	283	5	0
801	26	4	0
802	26	3	0
803	45	6	0
804	23	5	0
805	38	7	0
806	623	6	0
807	135	5	0
808	5	4	0
809	82	4	0
810	414	5	0
811	45	3	0
812	86	5	0
813	176	5	0
814	51	5	0
815	61	7	0
816	339	5	0
817	299	4	0
818	193	7	0
819	55	3	0
820	769	8	0
821	516	5	0
822	314	5	0
823	94	6	0
824	86	6	0
825	52	4	0
826	19	5	0
827	49	3	0
828	37	6	0
829	133	5	0
830	6	4	0
831	185	6	0
832	727	5	0
833	119	4	0
834	51	5	0
835	2	3	0
836	414	4	0
837	642	5	0
838	628	6	0
839	389	5	0
840	385	6	0
841	432	6	0
842	22	4	0
843	36	4	0
844	210	5	0
845	261	5	0
846	214	7	0
847	241	8	0
848	1	3	0
849	84	4	0
850	352	6	0
851	57	4	0
852	685	5	0
853	216	3	0
854	114	5	0
855	467	3	0
856	799	4	0
857	166	5	0
858	470	6	0
859	323	5	0
860	210	5	0
861	642	4	0
862	434	7	0
863	104	7	0
864	106	5	0
865	371	5	0
866	328	4	0
867	136	5	0
868	168	4	0
869	29	4	0
870	5	4	0
871	63	4	0
872	387	4	0
873	183	5	0
874	225	4	0
875	564	5	0
876	81	3	0
