Node	 Parent	 Time	 SigClade
0	0	0	0
1	0	1	0
2	0	2	0
3	0	1	0
4	0	1	0
5	0	2	0
6	1	2	0
7	2	2	0
8	1	2	0
9	2	3	0
10	1	3	0
11	0	1	0
12	1	3	0
13	2	3	0
14	2	4	0
15	6	4	0
16	2	4	0
17	0	2	0
18	12	4	0
19	2	4	0
20	4	3	0
21	10	4	0
22	0	2	0
23	4	3	0
24	2	2	0
25	12	4	0
26	14	5	0
27	4	3	0
28	6	4	0
29	25	6	0
30	6	4	0
31	9	5	0
32	19	4	0
33	28	5	0
34	12	5	0
35	9	4	0
36	0	1	0
37	16	4	0
38	28	3	0
39	0	1	0
40	0	2	0
41	1	3	0
42	28	5	0
43	10	3	0
44	19	5	0
45	9	5	0
46	3	2	0
47	25	6	0
48	28	6	0
49	0	2	0
50	26	7	0
51	3	3	0
52	26	6	0
53	16	5	0
54	2	4	0
55	26	6	0
56	3	3	0
57	39	3	0
58	31	6	0
59	41	5	0
60	1	3	0
61	2	3	0
62	3	2	0
63	39	2	0
64	8	3	0
65	14	5	0
66	10	5	0
67	1	2	0
68	21	5	0
69	9	4	0
70	10	5	0
71	6	4	0
72	54	6	0
73	15	5	0
74	17	4	0
75	45	6	0
76	3	2	0
77	2	3	0
78	2	4	0
79	21	4	0
80	54	5	0
81	0	1	0
82	0	1	0
83	5	4	0
84	6	4	0
85	0	2	0
86	18	5	0
87	23	5	0
88	3	3	0
89	31	5	0
90	25	5	0
91	54	5	0
92	2	3	0
93	0	2	0
94	9	5	0
95	0	2	0
96	16	4	0
97	3	2	0
98	35	3	0
99	17	3	0
100	17	4	0
101	26	7	0
102	32	5	0
103	2	3	0
104	1	3	0
105	26	7	0
106	3	3	0
107	0	2	0
108	2	4	0
109	10	4	0
110	74	4	0
111	17	4	0
112	44	5	0
113	40	2	0
114	9	4	0
115	23	5	0
116	73	6	0
117	19	5	0
118	42	5	0
119	63	3	0
120	28	5	0
121	17	4	0
122	12	4	0
123	2	2	0
124	41	5	0
125	1	2	0
126	23	5	0
127	0	2	0
128	21	5	0
129	15	5	0
130	54	6	0
131	44	6	0
132	30	5	0
133	5	4	0
134	75	7	0
135	1	2	0
136	44	5	0
137	1	3	0
138	34	5	0
139	9	5	0
140	63	3	0
141	19	6	0
142	73	7	0
143	6	3	0
144	0	2	0
145	31	5	0
146	79	6	0
147	58	5	0
148	9	4	0
149	29	7	0
150	1	3	0
151	14	5	0
152	2	3	0
153	31	6	0
154	2	3	0
155	17	4	0
156	4	3	0
157	17	4	0
158	25	5	0
159	29	7	0
160	61	4	0
161	21	5	0
162	77	4	0
163	25	6	0
164	9	4	0
165	5	4	0
166	143	4	0
167	31	5	0
168	23	5	0
169	20	5	0
170	40	2	0
171	113	4	0
172	6	4	0
173	1	3	0
174	0	2	0
175	47	7	0
176	61	4	0
177	162	5	0
178	61	4	0
179	67	3	0
180	140	5	0
181	16	6	0
182	19	4	0
183	17	4	0
184	113	3	0
185	31	5	0
186	16	4	0
187	85	4	0
188	54	6	0
189	54	6	0
190	1	3	0
191	20	5	0
192	74	5	0
193	19	5	0
194	117	6	0
195	15	5	0
196	12	4	0
197	6	2	0
198	35	4	0
199	2	4	0
200	2	3	0
201	16	6	0
202	58	5	0
203	68	6	0
204	36	3	0
205	10	5	0
206	17	3	0
207	24	4	0
208	111	5	0
209	8	4	0
210	6	4	0
211	37	5	0
212	24	4	0
213	77	5	0
214	6	3	0
215	127	4	0
216	11	2	0
217	64	4	0
218	12	4	0
219	136	7	0
220	75	7	0
221	45	5	0
222	85	4	0
223	97	3	0
224	26	6	0
225	140	5	0
226	67	4	0
227	166	6	0
228	66	6	0
229	26	6	0
230	25	6	0
231	0	1	0
232	19	5	0
233	19	4	0
234	59	6	0
235	17	3	0
236	101	7	0
237	15	5	0
238	77	5	0
239	9	5	0
240	0	2	0
241	38	4	0
242	28	6	0
243	40	3	0
244	53	6	0
245	9	5	0
246	54	5	0
247	122	4	0
248	42	5	0
249	19	5	0
250	1	3	0
251	45	5	0
252	21	5	0
253	25	5	0
254	88	5	0
255	1	3	0
256	105	6	0
257	122	5	0
258	40	3	0
259	44	6	0
260	64	4	0
261	140	3	0
262	64	4	0
263	30	5	0
264	10	4	0
265	2	3	0
266	74	6	0
267	19	5	0
268	40	4	0
269	63	2	0
270	0	2	0
271	173	4	0
272	21	4	0
273	8	3	0
274	84	5	0
275	26	7	0
276	77	4	0
277	15	5	0
278	74	6	0
279	108	5	0
280	74	6	0
281	19	4	0
282	116	8	0
283	141	7	0
284	34	5	0
285	64	5	0
286	8	4	0
287	12	5	0
288	42	6	0
289	34	6	0
290	20	5	0
291	77	5	0
292	15	5	0
293	68	5	0
294	30	6	0
295	36	3	0
296	2	4	0
297	168	6	0
298	6	2	0
299	20	4	0
300	19	5	0
301	85	4	0
302	169	6	0
303	74	5	0
304	61	4	0
305	5	4	0
306	122	5	0
307	9	4	0
308	150	5	0
309	33	4	0
310	45	5	0
311	25	6	0
312	25	5	0
313	138	6	0
314	35	4	0
315	8	3	0
316	17	4	0
317	116	7	0
318	240	3	0
319	216	4	0
320	207	5	0
321	11	2	0
322	21	5	0
323	20	4	0
324	73	5	0
325	73	5	0
326	34	7	0
327	31	6	0
328	27	4	0
329	19	5	0
330	30	4	0
331	31	6	0
332	0	2	0
333	207	5	0
334	29	7	0
335	2	3	0
336	201	8	0
337	0	2	0
338	222	5	0
339	208	6	0
340	302	6	0
341	165	6	0
342	68	5	0
343	199	5	0
344	73	6	0
345	36	2	0
346	12	4	0
347	74	5	0
348	168	6	0
349	143	5	0
350	155	5	0
351	173	4	0
352	45	5	0
353	26	6	0
354	207	4	0
355	63	3	0
356	31	6	0
357	240	4	0
358	14	4	0
359	7	2	0
360	208	6	0
361	206	4	0
362	79	6	0
363	152	3	0
364	6	2	0
365	17	3	0
366	207	4	0
367	233	5	0
368	212	5	0
369	49	3	0
370	151	6	0
371	82	3	0
372	87	6	0
373	14	4	0
374	73	7	0
375	23	5	0
376	286	4	0
377	168	6	0
378	61	4	0
379	41	5	0
380	262	6	0
381	127	4	0
382	82	3	0
383	6	3	0
384	222	5	0
385	7	4	0
386	63	2	0
387	124	6	0
388	101	7	0
389	176	6	0
390	42	6	0
391	31	6	0
392	302	7	0
393	200	5	0
394	28	5	0
395	266	7	0
396	5	3	0
397	214	5	0
398	189	6	0
399	149	7	0
400	201	7	0
401	223	5	0
402	138	6	0
403	21	4	0
404	53	5	0
405	3	3	0
406	118	6	0
407	59	7	0
408	258	4	0
409	311	6	0
410	88	4	0
411	298	3	0
412	284	6	0
413	66	6	0
414	238	6	0
415	272	5	0
416	337	3	0
417	18	4	0
418	10	4	0
419	22	3	0
420	355	5	0
421	8	3	0
422	27	3	0
423	205	6	0
424	49	4	0
425	347	6	0
426	47	7	0
427	36	1	0
428	17	3	0
429	7	3	0
430	122	5	0
431	404	7	0
432	72	8	0
433	266	7	0
434	66	6	0
435	108	5	0
436	54	6	0
437	105	8	0
438	169	5	0
439	157	5	0
440	284	5	0
441	6	3	0
442	27	5	0
443	9	5	0
444	34	7	0
445	49	4	0
446	47	7	0
447	59	7	0
448	4	3	0
449	75	6	0
450	15	6	0
451	17	3	0
452	127	4	0
453	326	9	0
454	22	4	0
455	133	4	0
456	0	1	0
457	270	4	0
458	158	6	0
459	40	3	0
460	22	4	0
461	38	4	0
462	176	5	0
463	24	3	0
464	14	4	0
465	64	4	0
466	64	5	0
467	39	3	0
468	73	5	0
469	38	4	0
470	59	6	0
471	116	6	0
472	19	4	0
473	32	4	0
474	127	4	0
475	111	6	0
476	98	5	0
477	19	5	0
478	418	5	0
479	85	3	0
480	31	6	0
481	12	3	0
482	195	6	0
483	17	4	0
484	436	6	0
485	20	4	0
486	122	5	0
487	94	6	0
488	25	4	0
489	66	6	0
490	348	7	0
491	165	5	0
492	377	6	0
493	418	5	0
494	111	5	0
495	363	4	0
496	155	6	0
497	14	5	0
498	57	4	0
499	39	3	0
500	68	6	0
501	370	6	0
502	258	4	0
503	412	7	0
504	20	4	0
505	34	7	0
506	104	5	0
507	124	6	0
508	53	6	0
509	278	7	0
510	294	7	0
511	25	6	0
512	138	7	0
513	6	3	0
514	16	4	0
515	25	6	0
516	274	6	0
517	169	6	0
518	38	4	0
519	97	2	0
520	23	5	0
521	464	5	0
522	47	7	0
523	449	7	0
524	21	5	0
525	3	3	0
526	9	4	0
527	38	4	0
528	20	5	0
529	49	4	0
530	270	4	0
531	228	7	0
532	17	4	0
533	47	7	0
534	19	5	0
535	20	5	0
536	405	5	0
537	321	2	0
538	177	6	0
539	244	6	0
540	68	5	0
541	124	6	0
542	25	6	0
543	49	3	0
544	2	3	0
545	348	7	0
546	336	9	0
547	59	6	0
548	57	5	0
549	31	6	0
550	254	6	0
551	268	6	0
552	32	4	0
553	111	5	0
554	113	4	0
555	79	5	0
556	55	7	0
557	60	4	0
558	348	7	0
559	133	4	0
560	122	5	0
561	48	6	0
562	363	4	0
563	472	5	0
564	205	6	0
565	295	4	0
566	388	8	0
567	258	4	0
568	275	7	0
569	31	6	0
570	224	7	0
571	232	6	0
572	38	5	0
573	21	4	0
574	168	6	0
575	278	6	0
576	1	3	0
577	9	4	0
578	283	7	0
579	311	6	0
580	35	4	0
581	123	3	0
582	206	4	0
583	471	7	0
584	391	6	0
585	23	5	0
586	363	5	0
587	121	5	0
588	26	6	0
589	355	4	0
590	74	6	0
591	13	5	0
592	113	4	0
593	328	6	0
594	260	5	0
595	77	3	0
596	19	6	0
597	45	5	0
598	487	7	0
599	8	3	0
600	339	7	0
601	56	5	0
602	141	7	0
603	101	6	0
604	196	3	0
605	314	5	0
606	98	5	0
607	56	4	0
608	372	7	0
609	79	5	0
610	115	5	0
611	64	4	0
612	9	5	0
613	488	5	0
614	31	6	0
615	104	5	0
616	206	4	0
617	39	2	0
618	0	2	0
619	376	6	0
620	425	6	0
621	19	6	0
622	125	3	0
623	28	5	0
624	436	6	0
625	113	3	0
626	0	2	0
627	299	3	0
628	264	5	0
629	275	6	0
630	55	7	0
631	264	6	0
632	333	6	0
633	15	5	0
634	270	3	0
635	17	4	0
636	395	7	0
637	171	5	0
638	93	3	0
639	27	3	0
640	107	4	0
641	117	6	0
642	8	3	0
643	4	3	0
644	13	4	0
645	458	8	0
646	39	3	0
647	303	5	0
648	5	3	0
649	260	4	0
650	87	4	0
651	162	6	0
652	387	6	0
653	244	6	0
654	98	5	0
655	290	6	0
656	21	5	0
657	57	3	0
658	44	4	0
659	370	7	0
660	15	3	0
661	74	5	0
662	76	3	0
663	30	6	0
664	122	4	0
665	97	3	0
666	270	4	0
667	168	5	0
668	122	4	0
669	152	4	0
670	3	2	0
671	262	5	0
672	138	6	0
673	3	3	0
674	246	6	0
675	108	4	0
676	237	6	0
677	30	5	0
678	149	8	0
679	92	5	0
680	49	3	0
681	102	7	0
682	412	7	0
683	26	6	0
684	59	7	0
685	171	6	0
686	136	6	0
687	355	5	0
688	93	3	0
689	190	5	0
690	376	5	0
691	216	4	0
692	266	6	0
693	189	7	0
694	408	5	0
695	139	6	0
696	2	2	0
697	412	7	0
698	286	3	0
699	68	6	0
700	74	6	0
701	49	4	0
702	370	7	0
703	141	7	0
704	26	6	0
705	70	6	0
706	205	5	0
707	161	3	0
708	257	7	0
709	55	7	0
710	7	2	0
711	116	7	0
712	197	4	0
713	21	5	0
714	155	6	0
715	275	7	0
716	34	7	0
717	55	7	0
718	14	5	0
719	315	4	0
720	372	7	0
721	166	5	0
722	6	3	0
723	354	5	0
724	93	3	0
725	45	5	0
726	298	3	0
727	127	4	0
728	448	4	0
729	8	4	0
730	323	4	0
731	108	5	0
732	262	5	0
733	5	4	0
734	59	6	0
735	94	5	0
736	4	3	0
737	499	4	0
738	85	3	0
739	166	6	0
740	228	8	0
741	73	5	0
742	190	4	0
743	15	5	0
744	21	6	0
745	199	6	0
746	104	4	0
747	216	3	0
748	77	5	0
749	385	6	0
750	491	7	0
751	222	5	0
752	617	4	0
753	5	4	0
754	267	6	0
755	270	4	0
756	257	6	0
757	346	5	0
758	208	5	0
759	395	8	0
760	3	2	0
761	206	5	0
762	405	4	0
763	84	5	0
764	11	3	0
765	23	3	0
766	419	5	0
767	160	6	0
768	275	8	0
769	66	6	0
770	56	4	0
771	28	5	0
772	0	1	0
773	61	4	0
774	297	8	0
775	507	8	0
776	491	6	0
777	59	6	0
778	30	5	0
779	376	5	0
780	15	5	0
781	182	4	0
782	323	5	0
783	72	7	0
784	239	7	0
785	140	3	0
786	313	6	0
787	66	6	0
788	66	6	0
789	24	4	0
790	32	5	0
791	264	5	0
792	20	4	0
793	164	5	0
794	223	3	0
795	149	7	0
796	404	4	0
797	192	7	0
798	470	6	0
799	122	5	0
800	478	5	0
801	315	4	0
802	64	5	0
803	212	6	0
804	31	5	0
805	136	6	0
806	15	5	0
807	11	3	0
808	550	7	0
809	131	5	0
810	88	4	0
811	243	5	0
812	9	2	0
813	140	4	0
814	39	3	0
815	22	4	0
816	155	6	0
817	193	7	0
818	42	6	0
819	86	6	0
820	9	5	0
821	44	6	0
822	144	4	0
823	226	6	0
824	287	5	0
825	211	6	0
826	45	6	0
827	12	5	0
828	144	2	0
829	97	3	0
830	305	4	0
831	3	3	0
832	388	7	0
833	188	6	0
834	359	4	0
835	157	4	0
836	533	8	0
837	38	4	0
838	68	6	0
839	396	4	0
840	621	7	0
841	563	5	0
842	244	6	0
843	79	6	0
844	54	5	0
845	198	4	0
846	610	6	0
847	640	4	0
848	419	4	0
849	244	6	0
850	26	4	0
851	238	5	0
852	743	5	0
853	82	3	0
854	93	4	0
855	122	5	0
856	699	5	0
857	193	7	0
858	240	4	0
859	677	6	0
860	184	4	0
861	577	5	0
862	158	6	0
863	57	3	0
864	328	4	0
865	124	6	0
866	19	5	0
867	169	6	0
868	7	3	0
869	302	6	0
870	29	7	0
871	103	4	0
872	30	5	0
873	201	7	0
874	51	4	0
875	28	5	0
876	59	6	0
